sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
5674,URB,81480097,25.4,40.460246,-3.696776,40.4601,-3.696544,bueno
5675,URB,81468695,18.5,40.456214,-3.692052,40.456241,-3.692267,bueno
5676,URB,26412638,15.0,40.46353,-3.696506,40.463615,-3.696369,bueno
5677,URB,81507802,23.1,40.461861,-3.695288,40.461682,-3.695427,bueno
5678,URB,81507803,21.3,40.460583,-3.696323,40.460767,-3.696254,bueno
5679,URB,81466860,20.6,40.460967,-3.694322,40.460889,-3.6941,bueno
5680,URB,102525667,37.5,40.457606,-3.691051,40.457577,-3.69061,bueno
5681,URB,26412844,28.1,40.457073,-3.701728,40.456856,-3.701897,bueno
5682,URB,2273627198,17.3,40.457467,-3.701697,40.457332,-3.701595,bueno
5683,URB,93862635,56.6,40.457018,-3.703157,40.457212,-3.702539,aceptable
5684,URB,26412668,13.0,40.461656,-3.697958,40.461755,-3.697877,bueno
5685,URB,26412815,17.0,40.460364,-3.698666,40.460222,-3.698745,bueno
5686,URB,93868939,8.1,40.459663,-3.699365,40.459694,-3.699279,bueno
5687,URB,26412838,18.0,40.458349,-3.700854,40.458447,-3.700685,bueno
5688,URB,26412839,12.1,40.457925,-3.701082,40.45803,-3.701049,bueno
5689,URB,26412822,10.6,40.459091,-3.699931,40.459034,-3.700031,bueno
5690,URB,26412630,23.3,40.464577,-3.694834,40.464506,-3.695093,bueno
5691,URB,26412839,3.0,40.458018,-3.70108,40.45803,-3.701049,bueno
5692,URB,26412638,4.2,40.463618,-3.69632,40.463615,-3.696369,bueno
5693,URB,26412704,69.4,40.460366,-3.697654,40.460623,-3.698401,aceptable
5694,URB,342430343,66.9,40.460489,-3.697601,40.461065,-3.697375,aceptable
5699,URB,26413033,6.2,40.450481,-3.703403,40.45053,-3.703438,bueno
5700,URB,339391878,6.0,40.451816,-3.703212,40.451867,-3.703238,bueno
5701,URB,26412911,9.1,40.452925,-3.703034,40.452854,-3.703087,bueno
5702,URB,26412871,39.1,40.455386,-3.702542,40.455728,-3.702438,bueno
5703,URB,26412845,23.8,40.456478,-3.702065,40.456293,-3.702205,bueno
5705,URB,93888896,17.3,40.454956,-3.703693,40.455086,-3.703805,bueno
5706,URB,98724251,0.9,40.452901,-3.703915,40.452903,-3.703926,bueno
5707,URB,34408565,15.7,40.450058,-3.704442,40.450077,-3.704626,bueno
5708,URB,81604772,58.5,40.450446,-3.702593,40.450424,-3.701902,aceptable
5720,URB,98746811,24.5,40.451117,-3.696675,40.450896,-3.696685,bueno
